ID,fsq_college_dist
0,1555
1,1732
2,2069
3,1579
4,2114
5,562
6,551
7,743
8,709
9,1504
10,986
11,457
12,582
13,1062
14,480
15,358
16,2184
17,314
18,349
19,828
20,785
21,939
22,1225
23,880
24,1200
25,1581
26,117
27,412
28,68
29,863
30,425
31,204
32,168
33,1907
34,987
35,1478
36,603
37,2033
38,1005
39,3635
40,2931
41,757
42,349
43,203
44,1000
45,1183
46,640
47,2387
48,1757
49,1114
50,835
51,1720
52,1353
53,1073
54,485
55,1029
56,884
57,251
58,786
59,172
60,2159
61,671
62,180
63,275
64,623
65,800
66,1518
67,2024
68,1780
69,1816
70,931
71,1772
72,543
73,736
74,522
75,899
76,684
77,1655
78,2047
79,67
80,313
81,1116
82,1232
83,946
84,1342
85,692
86,1031
87,39
88,558
89,1431
90,740
91,1442
92,1647
93,789
94,1290
95,223
96,81
97,1146
98,730
99,118
100,864
101,494
102,322
103,69
104,198
105,1489
106,232
107,644
108,235
109,735
110,266
111,406
112,472
113,932
114,2032
115,1194
116,1087
117,386
118,172
119,921
120,1033
121,594
122,1236
123,479
124,282
125,48
126,1329
127,880
128,1278
129,1213
130,130
131,1619
132,100
133,1058
134,1891
135,596
136,1028
137,241
138,815
139,1060
140,944
141,1448
142,336
143,1129
144,1611
145,203
146,174
147,1246
148,1609
149,179
150,1822
151,1196
152,591
153,1008
154,500
155,2643
156,1328
157,410
158,368
159,823
160,1439
161,848
162,752
163,272
164,1569
165,789
166,688
167,1176
168,1256
169,950
170,1112
171,276
172,263
173,1004
174,138
175,979
176,433
177,594
178,1138
179,471
180,407
181,419
182,778
183,1601
184,2322
185,1860
186,1447
187,204
188,1499
189,577
190,402
191,1086
192,1197
193,1309
194,614
195,1724
196,489
197,923
198,2759
199,2890
200,2460
201,3130
202,2936
203,2636
204,1061
205,1165
206,1379
207,293
208,1962
209,2060
210,1718
211,1130
212,1111
213,2347
214,1049
215,1641
216,2372
217,588
218,1856
219,2010
220,664
221,749
222,1730
223,2056
224,2120
225,1233
226,330
227,401
228,814
229,1867
230,656
231,1548
232,1125
