name,empty_slots,free_bikes,latitude,longitude,yelp_center_dist,yelp_college_dist,fsq_center_dist,fsq_college_dist
10th & Federal,3,15,39.93431,-75.16042,206.7985966742717,1331.4465972803582,204.0,1555
4th & Washington,13,6,39.93401,-75.15094,130.7532559581658,1706.0963087460332,431.0,1732
29th & Dauphin,11,3,39.99119,-75.17975,794.358687857276,2282.5298103570926,79.0,2069
"Berks Station, MFL",6,11,39.97888,-75.13339,165.8418927434642,1808.390163791868,142.0,1579
33rd & Diamond,3,1,39.98837,-75.18701,711.2652445671997,2707.0434766221542,729.0,2114
"4th & Walnut, NPS",7,4,39.94735,-75.14886,207.94915194492236,543.3013088642261,19.0,562
"11th & Poplar, John F. Street Community Center",5,10,39.96892,-75.1547,362.0257648213888,1073.5012521885271,372.0,551
6th & Berks,6,9,39.98003,-75.14371,467.5520909424046,920.0569411805868,458.0,743
15th & Spruce,13,8,39.94711,-75.16618,133.85631534000473,133.1002673994362,95.0,709
21st & Catharine,11,15,39.94218,-75.17747,178.56467020739527,1021.3356259297808,334.0,1504
7th & Fitzwater,4,14,39.94018,-75.15442,205.88732277460247,975.6104468668088,118.0,986
12th & Callowhill,13,3,39.95924,-75.15821,173.13410199818253,477.8505481093129,180.0,457
"8th & Mifflin, Bok Building",4,14,39.92545,-75.15954,29.977480771327446,2292.8064494673545,53.0,582
20th & Market,19,2,39.95381,-75.17407,79.28243836213397,347.7668871914733,123.0,1062
12th & Filbert,6,11,39.95273,-75.15979,105.662619052251,200.42431935984496,105.0,480
6th & Race,12,2,39.95403,-75.14983,405.90537235416,271.2665932536507,397.0,358
"Thompson & Palmer, Adaire School",1,10,39.97216,-75.12994,272.32306474854784,2205.2628781956514,274.0,2184
"40th & Baltimore, Trolley Portal",14,2,39.94993,-75.20286,518.0524304853928,278.3492190048555,424.0,314
38th & Market,31,8,39.95662,-75.19862,135.35710938887934,356.311029775133,144.0,349
30th Street Station East,14,9,39.95486,-75.18091,323.1227544845616,311.33391158130433,178.0,828
27th & South,21,13,39.94595,-75.18475,446.36704829493976,694.8977337371549,165.0,785
12th & Passyunk,6,11,39.92814,-75.16515,51.4233427674047,1923.3215112625733,60.0,939
20th & Sansom,10,13,39.95134,-75.17394,17.27025421255251,379.6062617659615,28.0,1225
2nd & Race,9,7,39.95382,-75.14263,57.08350847608556,245.05911012444108,48.0,880
Broad & Christian,16,5,39.94019,-75.16691,355.19502699787114,583.7587927003357,128.0,1200
3rd & Girard,19,16,39.96984,-75.1418,168.53490651818558,1592.9250659584695,151.0,1581
33rd & Market,8,6,39.95576,-75.18982,211.3443368249468,95.43621272886504,37.0,117
"11th & Pine, Kahn Park",13,5,39.94517,-75.15993,252.18799477187795,489.7554657269818,198.0,412
40th & Spruce,11,6,39.9522,-75.20311,436.26335963964937,70.89147331254108,296.0,68
"Welcome Park, NPS",4,8,39.94733,-75.14403,194.2064629977526,854.8493762005294,102.0,863
17th & Girard,13,4,39.97207,-75.16351,155.8739477225759,1047.1875672227338,238.0,425
44th & Walnut,8,7,39.95511,-75.20987,132.00178032370172,204.16880099799064,198.0,204
Fairmount & Ridge,8,3,39.96718,-75.16125,67.93538905466542,590.7541460949327,67.0,168
