ID,name,empty_slots,free_bikes,latitude,longitude
0,10th & Federal,3,15,39.93431,-75.16042
1,4th & Washington,13,6,39.93401,-75.15094
2,29th & Dauphin,11,3,39.99119,-75.17975
3,"Berks Station, MFL",6,11,39.97888,-75.13339
4,33rd & Diamond,3,1,39.98837,-75.18701
5,"4th & Walnut, NPS",7,4,39.94735,-75.14886
6,"11th & Poplar, John F. Street Community Center",5,10,39.96892,-75.1547
7,6th & Berks,6,9,39.98003,-75.14371
8,15th & Spruce,13,8,39.94711,-75.16618
9,21st & Catharine,11,15,39.94218,-75.17747
10,7th & Fitzwater,4,14,39.94018,-75.15442
11,12th & Callowhill,13,3,39.95924,-75.15821
12,"8th & Mifflin, Bok Building",4,14,39.92545,-75.15954
13,20th & Market,19,2,39.95381,-75.17407
14,12th & Filbert,6,11,39.95273,-75.15979
15,6th & Race,12,2,39.95403,-75.14983
16,"Thompson & Palmer, Adaire School",1,10,39.97216,-75.12994
17,"40th & Baltimore, Trolley Portal",14,2,39.94993,-75.20286
18,38th & Market,31,8,39.95662,-75.19862
19,30th Street Station East,14,9,39.95486,-75.18091
20,27th & South,21,13,39.94595,-75.18475
21,12th & Passyunk,6,11,39.92814,-75.16515
22,20th & Sansom,10,13,39.95134,-75.17394
23,2nd & Race,9,7,39.95382,-75.14263
24,Broad & Christian,16,5,39.94019,-75.16691
25,3rd & Girard,19,16,39.96984,-75.1418
26,33rd & Market,8,6,39.95576,-75.18982
27,"11th & Pine, Kahn Park",13,5,39.94517,-75.15993
28,40th & Spruce,11,6,39.9522,-75.20311
29,"Welcome Park, NPS",4,8,39.94733,-75.14403
30,17th & Girard,13,4,39.97207,-75.16351
31,44th & Walnut,8,7,39.95511,-75.20987
32,Fairmount & Ridge,8,3,39.96718,-75.16125
33,Front & Carpenter,19,5,39.93445,-75.14541
34,9th & Spring Garden,14,1,39.96143,-75.15242
35,"Spring Garden Station, MFL",18,1,39.96062,-75.13983
36,"32nd & Baring, Drexel Park",11,1,39.96173,-75.18788
37,"Broad & Pattison, BSL",24,5,39.90471,-75.1734
38,17th & Sansom,17,4,39.95081,-75.16953
39,15th & Kitty Hawk,13,6,39.88994,-75.17679
40,Crescent Park,12,6,39.89629,-75.17514
41,20th & Race,7,11,39.95725,-75.17232
42,11th & Market ,7,14,39.95169,-75.15888
43,38th & Spruce,19,4,39.95121,-75.19962
44,Pennsylvania & Fairmount Perelman Building,21,4,39.96759,-75.17952
45,Moyamensing & Tasker,27,11,39.92777,-75.15103
46,11th & South,18,0,39.94295,-75.15955
47,33rd & Dauphin,8,4,39.99179,-75.18637
48,33rd & Reservoir,14,4,39.98203,-75.18866
49,34th & Mantua,4,9,39.96664,-75.19209
50,Girard & Hutchinson,15,0,39.9707,-75.15171
51,"18th & Washington, Chew Playground",10,12,39.9384,-75.17327
52,19th & Lombard,22,6,39.94561,-75.17348
53,23rd & Market,19,4,39.95425,-75.17761
54,Free Library of Philadelphia - Central Library,15,4,39.95923,-75.17036
55,17th & Pine,23,2,39.94633,-75.1698
56,24th & Sansom,9,6,39.95197,-75.17943
57,9th & Arch,9,6,39.95339,-75.15426
58,23rd & Fairmount,30,7,39.96744,-75.17507
59,9th & Locust,16,9,39.94732,-75.15695
60,Point Breeze & Tasker,13,6,39.93231,-75.18154
61,Rodin Museum,21,13,39.9625,-75.1742
62,8th & Market,12,3,39.95112,-75.15457
63,Broad & Oxford,15,7,39.97669,-75.15813
64,20th & Fairmount,7,12,39.96716,-75.17001
65,Broad & Ritner,19,4,39.92083,-75.17033
66,25th & Diamond,11,5,39.98717,-75.17477
67,"Parkside & Belmont, Case Building",2,11,39.97779,-75.21323
68,Del. River Trail & Penn St.,3,14,39.96175,-75.13641
69,Philadelphia Zoo,9,3,39.97472,-75.19781
70,48th & Spruce,10,6,39.95373,-75.21825
71,22nd & Federal,8,9,39.93775,-75.18012
72,Barnes Foundation,18,3,39.96006,-75.17198
73,42nd & Lancaster,11,6,39.96674,-75.20799
74,"46th Street Station, MFL",15,5,39.95866,-75.21323
75,Broad & Passyunk ,11,4,39.92552,-75.16904
76,2nd & Market,12,14,39.95012,-75.14472
77,"18th & Fernon, Aquinas Center",7,11,39.93082,-75.17474
78,"Girard Station, MFL",11,14,39.96849,-75.13546
79,17th & Spring Garden,14,7,39.96289,-75.16606
80,Ridge & Master,12,5,39.97583,-75.16846
81,Foglietta Plaza,14,14,39.94509,-75.1425
82,"15th & Castle, DiSilvestro Playground",7,9,39.92884,-75.17021
83,15th & South,6,9,39.94391,-75.16735
84,31st & Girard,8,11,39.97522,-75.18669
85,22nd & Cecil B. Moore,15,1,39.98004,-75.17088
86,Darien & Catharine,22,7,39.93935,-75.15716
87,13th & Montgomery,6,15,39.98005,-75.15522
88,Pennsylvania Convention Center,14,6,39.95424,-75.16138
89,11th & Reed,10,6,39.93315,-75.16248
90,Dornsife Center,10,9,39.96271,-75.19419
91,4th & Christian,10,13,39.93704,-75.15038
92,Broad & Federal,4,11,39.93549,-75.16711
93,"39th & Mt. Vernon, Mantua Haverford Community Center",12,5,39.96411,-75.19973
94,11th & Washington,8,7,39.93724,-75.1612
95,"43rd & Chester, Clark Park",10,9,39.94822,-75.20908
96,36th & Sansom,7,10,39.9538,-75.19479
97,4th & Bainbridge,7,8,39.94061,-75.14958
98,18th & JFK,26,8,39.9539,-75.16902
99,Broad & Diamond,12,6,39.98492,-75.15668
100,16th & Chestnut,11,7,39.95134,-75.16758
101,45th & Baltimore,3,10,39.949,-75.21278
102,"19th & Girard, PTTI",13,5,39.97263,-75.16757
103,34th & Spruce,16,12,39.95048,-75.19324
104,10th & Chestnut,11,9,39.95005,-75.15672
105,18th & Christian,15,5,39.94077,-75.17227
106,17th & Green,19,2,39.96437,-75.16582
107,Amtrak 30th Street Station,9,12,39.95472,-75.18323
108,Corinthian & Poplar,21,1,39.97172,-75.1706
109,"21st & Winter, Franklin Institute",19,6,39.95886,-75.17369
110,Health Sciences Drive,16,6,39.94573,-75.19551
111,"Spring Garden Station, BSL",17,3,39.96244,-75.16121
112,16th & Arch,14,6,39.95523,-75.1662
113,19th & Market,16,1,39.95355,-75.17192
114,ParkWest Town Center,13,1,39.97841,-75.22399
115,2nd & Norris,6,11,39.98101,-75.13721
116,Schuylkill Banks Pergola,29,3,39.96383,-75.18177
117,Race & Franklin ,12,7,39.95501,-75.15208
118,16th & Callowhill,18,4,39.96,-75.1651
119,Broad & Oregon,8,13,39.91717,-75.17096
120,24th & Pennsylvania ,18,0,39.96566,-75.17765
121,6th & S Washington Square,6,15,39.94628,-75.15138
122,2nd & Lombard,10,5,39.94182,-75.1455
123,44th & Haverford,13,3,39.96277,-75.21185
124,8th & Diamond,14,3,39.9835,-75.14743
125,Broad & Cecil B Moore,5,15,39.97887,-75.15777
126,Broad & Carpenter,10,12,39.93865,-75.16674
127,47th & Aspen - Lucien Blackwell,8,7,39.96538,-75.21514
128,50th & Baltimore,17,3,39.94782,-75.22301
129,24th & Christian,19,3,39.94213,-75.18335
130,34th & Arch,16,6,39.95784,-75.19079
131,29th & Tasker,7,10,39.93366,-75.19319
132,34th & Chestnut,12,10,39.95441,-75.192
133,30th & Oakford,13,5,39.93882,-75.19324
134,27th & Morris - Vare Recreation Center,15,6,39.93174,-75.18996
135,Broad & Chestnut,8,5,39.95095,-75.16438
136,23rd & Chestnut,10,13,39.95269,-75.17779
137,16th & Montgomery,14,4,39.98091,-75.16065
138,4th & Wood,16,3,39.95673,-75.14575
139,24th & Race SRT,13,8,39.95819,-75.1782
140,2nd & Snyder,9,11,39.9216,-75.15
141,52nd & Chestnut,13,6,39.95828,-75.22424
142,Broad & Girard,10,6,39.97157,-75.15993
143,Race Street Pier,7,9,39.95367,-75.13956
144,2nd & Brown,6,10,39.96304,-75.14099
145,The Children's Hospital of Philadelphia (CHOP),14,14,39.94781,-75.19409
146,Temple University Station,8,8,39.98081,-75.15067
147,Water & Mifflin,14,8,39.9237,-75.14701
148,19th & Oregon,17,5,39.918,-75.1796
149,43rd & Powelton,11,7,39.9586,-75.2081
150,53rd & Baltimore,18,0,39.9476,-75.22946
151,50th & Haverford,16,6,39.96405,-75.22048
152,Powelton & Lancaster,10,3,39.95957,-75.19633
153,17th & Locust,27,3,39.94892,-75.16991
154,12th & Fairmount,12,5,39.96569,-75.15679
155,York & Aramingo,10,11,39.97576,-75.12157
156,Ridge & Ferry,6,15,40.00773,-75.19196
157,8th & Spruce,12,11,39.94571,-75.15508
158,University City Station,16,20,39.94855,-75.19007
159,20th & Berks,15,3,39.98306,-75.16738
160,22nd & Sedgley,15,8,39.99301,-75.1681
161,13th & Mifflin,14,4,39.9265,-75.1668
162,50th & Woodland,16,2,39.93968,-75.21362
163,10th & Nevada,20,0,39.98628,-75.14925
164,Lindbergh & Wheeler,9,12,39.9323,-75.2162
165,25th & Locust,8,14,39.94974,-75.18097
166,49th & Chester,14,2,39.94367,-75.21606
167,Philadelphia Museum of Art,24,1,39.96439,-75.17987
168,6th & Brown,11,10,39.96409,-75.14769
169,Midvale & Cresson,18,7,40.01112,-75.19287
170,Ridge & Heritage,24,5,40.01022,-75.197
171,"Independence Mall, NPS",16,3,39.95073,-75.14947
172,12th & Chestnut,13,8,39.95028,-75.16027
173,18th & Chestnut,13,7,39.95174,-75.17063
174,42nd & Woodland,19,2,39.94717,-75.20691
175,5th & Willow,10,8,39.95946,-75.14745
176,Broad & Cherry,9,4,39.95511,-75.16287
177,9th & Lombard,16,5,39.94332,-75.15698
178,18th & Walnut,8,5,39.95029,-75.17126
179,18th & Vine,17,2,39.95821,-75.16901
180,5th & Wolf,13,12,39.92,-75.1562
181,24th & Seybert,7,1,39.97595,-75.17509
182,7th & South,11,10,39.94234,-75.15399
183,22nd & Lehigh,12,11,39.99569,-75.1671
184,28th & Lehigh,16,1,39.99683,-75.17761
185,27th & Clearfield,13,8,40.0028,-75.174
186,"52nd Street Station, MFL",11,8,39.96004,-75.2244
187,41st & Chestnut,13,12,39.9559,-75.2053
188,Oxford & Glenwood,4,10,39.98024,-75.18651
189,10th & Oregon,10,14,39.9158,-75.1643
190,48th & Woodland,14,3,39.94235,-75.21138
191,16th & Wolf,12,7,39.92255,-75.17337
192,12th & Carpenter,25,4,39.93866,-75.16351
193,30th & Reed,9,7,39.93633,-75.19447
194,City Hall South,9,10,39.95182,-75.16395
195,Front & Queen,9,7,39.93682,-75.14492
196,Broad & Master,13,4,39.9746,-75.15917
197,20th & Cuthbert,9,12,39.95485,-75.17298
198,Kelly Drive - Strawberry Mansion Bridge,19,3,39.99484,-75.19242
199,Kelly Drive Grandstand,19,4,39.98798,-75.1995
200,Penn Treaty Park,11,5,39.96672,-75.12964
201,M.L.K. Drive - Strawberry Mansion Bridge,12,4,39.99198,-75.19944
202,Manayunk Bridge,17,5,40.02796,-75.2277
203,Cresson & Levering,6,11,40.02651,-75.22445
204,6th & Master,18,3,39.97318,-75.14612
205,7th & Dickinson,13,6,39.9302,-75.15636
206,7th & Passyunk,9,4,39.93638,-75.15526
207,36th & Filbert,14,6,39.95719,-75.19388
208,54th & Cedar,9,12,39.95098,-75.23035
209,Main & Shurs,16,4,40.02237,-75.218
210,Pencoyd Bridge,14,6,40.0163,-75.21241
211,23rd & South,8,12,39.94527,-75.17971
212,Grays Ferry & Pemberton,10,6,39.94426,-75.18134
213,York & Gaul,16,1,39.97759,-75.12442
214,27th & Pennsylvania,11,6,39.96906,-75.18169
215,52nd & Larchwood - Malcolm X Park,9,9,39.95225,-75.22637
216,Girard & Palmer,15,5,39.97116,-75.12813
217,Municipal Services Building,14,5,39.95376,-75.16474
218,32nd & Allegheny,10,11,40.00537,-75.18143
219,York & Trenton,8,13,39.98131,-75.12732
220,22nd & Spring Garden,15,5,39.9639,-75.17385
221,18th & JFK Curbside,16,9,39.9541,-75.16965
